ExamName,Score,PassScore,PassOrFail,StudentID
MCAT,505,510,False,382
Step 1,229,196,True,382
Step 2,265,214,True,382
MCAT,501,510,False,519
Step 1,215,196,True,519
Step 2,231,214,True,519
MCAT,509,510,False,248
Step 1,219,196,True,248
Step 2,226,214,True,248
MCAT,509,510,False,291
Step 1,223,196,True,291
Step 2,222,214,True,291
MCAT,507,510,False,440
Step 1,228,196,True,440
Step 2,242,214,True,440
MCAT,507,510,False,744
Step 1,255,196,True,744
Step 2,261,214,True,744
MCAT,516,510,True,643
Step 1,252,196,True,643
Step 2,257,214,True,643
MCAT,505,510,False,634
Step 1,233,196,True,634
Step 2,237,214,True,634
MCAT,511,510,True,752
MCAT,511,510,True,172
Step 1,240,196,True,172
Step 2,254,214,True,172
MCAT,513,510,True,327
Step 1,256,196,True,327
Step 2,257,214,True,327
MCAT,503,510,False,836
Step 1,202,196,True,836
Step 2,231,214,True,836
MCAT,508,510,False,612
Step 1,239,196,True,612
Step 2,244,214,True,612
MCAT,512,510,True,832
Step 1,262,196,True,832
Step 2,262,214,True,832
MCAT,515,510,True,122
Step 1,234,196,True,122
Step 2,250,214,True,122
MCAT,505,510,False,839
Step 1,239,196,True,839
Step 2,239,214,True,839
MCAT,511,510,True,694
Step 1,261,196,True,694
Step 2,257,214,True,694
MCAT,512,510,True,351
Step 1,249,196,True,351
Step 2,263,214,True,351
MCAT,517,510,True,901
Step 1,223,196,True,901
Step 2,234,214,True,901
MCAT,505,510,False,383
Step 1,214,196,True,383
Step 2,251,214,True,383
MCAT,511,510,True,811
Step 1,231,196,True,811
Step 2,242,214,True,811
MCAT,508,510,False,209
Step 1,219,196,True,209
Step 2,240,214,True,209
MCAT,512,510,True,871
Step 1,247,196,True,871
Step 2,249,214,True,871
MCAT,512,510,True,396
Step 1,235,196,True,396
Step 2,261,214,True,396
MCAT,504,510,False,186
Step 1,210,196,True,186
Step 2,235,214,True,186
MCAT,505,510,False,566
Step 1,210,196,True,566
Step 2,236,214,True,566
MCAT,511,510,True,245
Step 1,232,196,True,245
Step 2,262,214,True,245
MCAT,508,510,False,319
Step 1,221,196,True,319
Step 2,236,214,True,319
MCAT,500,510,False,607
Step 1,182,196,False,607
Step 2,243,214,True,607
MCAT,513,510,True,567
Step 1,229,196,True,567
Step 2,246,214,True,567
MCAT,511,510,True,787
Step 1,186,196,False,787
Step 2,234,214,True,787
MCAT,511,510,True,747
Step 1,249,196,True,747
Step 2,249,214,True,747
MCAT,507,510,False,506
Step 1,210,196,True,506
Step 2,196,214,False,506
MCAT,517,510,True,845
Step 1,255,196,True,845
Step 2,257,214,True,845
MCAT,508,510,False,320
Step 1,211,196,True,320
MCAT,504,510,False,868
Step 1,221,196,True,868
Step 2,244,214,True,868
MCAT,505,510,False,537
Step 1,217,196,True,537
Step 2,236,214,True,537
MCAT,515,510,True,361
Step 1,246,196,True,361
Step 2,241,214,True,361
MCAT,511,510,True,813
Step 1,204,196,True,813
Step 2,213,214,False,813
MCAT,500,510,False,769
Step 1,248,196,True,769
Step 2,246,214,True,769
MCAT,507,510,False,345
Step 1,187,196,False,345
Step 2,214,214,True,345
MCAT,508,510,False,102
Step 1,251,196,True,102
Step 2,259,214,True,102
MCAT,507,510,False,344
Step 1,197,196,True,344
Step 2,229,214,True,344
MCAT,509,510,False,815
Step 1,224,196,True,815
Step 2,238,214,True,815
MCAT,511,510,True,508
Step 1,234,196,True,508
Step 2,240,214,True,508
MCAT,507,510,False,314
Step 1,218,196,True,314
Step 2,241,214,True,314
MCAT,513,510,True,781
Step 1,249,196,True,781
Step 2,256,214,True,781
MCAT,505,510,False,652
Step 1,203,196,True,652
Step 2,195,214,False,652
MCAT,504,510,False,736
Step 1,218,196,True,736
Step 2,249,214,True,736
MCAT,505,510,False,571
Step 1,165,196,False,571
MCAT,508,510,False,732
Step 1,200,196,True,732
Step 2,227,214,True,732
MCAT,505,510,False,497
Step 1,191,196,False,497
MCAT,508,510,False,911
Step 1,231,196,True,911
Step 2,235,214,True,911
MCAT,508,510,False,520
Step 1,229,196,True,520
Step 2,248,214,True,520
MCAT,508,510,False,115
Step 1,235,196,True,115
Step 2,218,214,True,115
MCAT,512,510,True,553
Step 1,187,196,False,553
MCAT,507,510,False,113
Step 1,244,196,True,113
Step 2,237,214,True,113
MCAT,512,510,True,770
Step 1,217,196,True,770
Step 2,215,214,True,770
MCAT,501,510,False,880
Step 1,216,196,True,880
Step 2,231,214,True,880
MCAT,507,510,False,201
Step 1,217,196,True,201
Step 2,245,214,True,201
MCAT,513,510,True,193
Step 1,228,196,True,193
Step 2,260,214,True,193
MCAT,505,510,False,483
Step 1,193,196,False,483
Step 2,217,214,True,483
MCAT,508,510,False,660
Step 1,219,196,True,660
Step 2,256,214,True,660
MCAT,508,510,False,373
Step 1,234,196,True,373
Step 2,245,214,True,373
MCAT,516,510,True,206
Step 1,248,196,True,206
Step 2,261,214,True,206
MCAT,509,510,False,400
Step 1,247,196,True,400
Step 2,250,214,True,400
MCAT,508,510,False,463
Step 1,226,196,True,463
Step 2,245,214,True,463
MCAT,512,510,True,763
Step 1,246,196,True,763
Step 2,254,214,True,763
MCAT,512,510,True,170
Step 1,259,196,True,170
Step 2,263,214,True,170
MCAT,508,510,False,461
Step 1,177,196,False,461
MCAT,512,510,True,759
Step 1,244,196,True,759
Step 2,254,214,True,759
MCAT,508,510,False,511
Step 1,231,196,True,511
Step 2,244,214,True,511
MCAT,512,510,True,604
Step 1,236,196,True,604
Step 2,245,214,True,604
MCAT,505,510,False,666
Step 1,237,196,True,666
Step 2,245,214,True,666
MCAT,513,510,True,242
Step 1,221,196,True,242
Step 2,260,214,True,242
MCAT,515,510,True,849
Step 1,229,196,True,849
Step 2,242,214,True,849
MCAT,515,510,True,703
Step 1,248,196,True,703
Step 2,264,214,True,703
MCAT,508,510,False,773
Step 1,240,196,True,773
Step 2,225,214,True,773
MCAT,516,510,True,477
Step 1,252,196,True,477
Step 2,264,214,True,477
MCAT,513,510,True,456
Step 1,202,196,True,456
Step 2,228,214,True,456
MCAT,504,510,False,108
Step 1,187,196,False,108
Step 2,200,214,False,108
MCAT,509,510,False,742
Step 1,251,196,True,742
Step 2,266,214,True,742
MCAT,513,510,True,589
Step 1,258,196,True,589
Step 2,254,214,True,589
MCAT,503,510,False,888
Step 1,218,196,True,888
Step 2,235,214,True,888
MCAT,512,510,True,405
Step 1,194,196,False,405
Step 2,206,214,False,405
MCAT,511,510,True,386
Step 1,233,196,True,386
Step 2,232,214,True,386
MCAT,504,510,False,332
Step 1,223,196,True,332
Step 2,241,214,True,332
MCAT,505,510,False,391
Step 1,233,196,True,391
Step 2,250,214,True,391
MCAT,511,510,True,693
Step 1,230,196,True,693
Step 2,237,214,True,693
MCAT,507,510,False,136
Step 1,249,196,True,136
Step 2,259,214,True,136
MCAT,511,510,True,751
Step 1,259,196,True,751
Step 2,267,214,True,751
MCAT,517,510,True,559
Step 1,221,196,True,559
Step 2,256,214,True,559
MCAT,515,510,True,784
Step 1,225,196,True,784
Step 2,223,214,True,784
MCAT,505,510,False,491
Step 1,239,196,True,491
Step 2,260,214,True,491
MCAT,507,510,False,214
Step 1,209,196,True,214
Step 2,230,214,True,214
MCAT,505,510,False,818
Step 1,220,196,True,818
Step 2,233,214,True,818
MCAT,511,510,True,515
Step 1,248,196,True,515
Step 2,253,214,True,515
MCAT,513,510,True,661
Step 1,235,196,True,661
Step 2,255,214,True,661
MCAT,505,510,False,749
Step 1,262,196,True,749
Step 2,259,214,True,749
MCAT,511,510,True,550
Step 1,260,196,True,550
Step 2,271,214,True,550
MCAT,508,510,False,120
Step 1,248,196,True,120
Step 2,255,214,True,120
MCAT,512,510,True,525
Step 1,239,196,True,525
Step 2,259,214,True,525
MCAT,515,510,True,572
Step 1,218,196,True,572
Step 2,237,214,True,572
MCAT,509,510,False,837
Step 1,211,196,True,837
Step 2,229,214,True,837
MCAT,515,510,True,872
Step 1,255,196,True,872
Step 2,253,214,True,872
MCAT,507,510,False,262
Step 1,202,196,True,262
Step 2,233,214,True,262
MCAT,509,510,False,883
Step 1,230,196,True,883
Step 2,252,214,True,883
MCAT,512,510,True,805
Step 1,225,196,True,805
Step 2,251,214,True,805
MCAT,507,510,False,460
Step 1,204,196,True,460
Step 2,226,214,True,460
MCAT,509,510,False,622
Step 1,218,196,True,622
Step 2,239,214,True,622
MCAT,507,510,False,166
Step 1,216,196,True,166
Step 2,247,214,True,166
MCAT,508,510,False,137
Step 1,225,196,True,137
Step 2,235,214,True,137
MCAT,505,510,False,721
Step 1,246,196,True,721
Step 2,263,214,True,721
MCAT,513,510,True,748
Step 1,239,196,True,748
Step 2,247,214,True,748
MCAT,511,510,True,106
Step 1,215,196,True,106
Step 2,243,214,True,106
MCAT,513,510,True,379
Step 1,242,196,True,379
Step 2,256,214,True,379
MCAT,511,510,True,918
Step 1,217,196,True,918
Step 2,244,214,True,918
MCAT,504,510,False,266
Step 1,210,196,True,266
Step 2,242,214,True,266
MCAT,507,510,False,495
Step 1,222,196,True,495
Step 2,258,214,True,495
MCAT,508,510,False,390
Step 1,236,196,True,390
Step 2,261,214,True,390
MCAT,501,510,False,103
Step 1,224,196,True,103
Step 2,233,214,True,103
MCAT,512,510,True,548
Step 1,230,196,True,548
Step 2,242,214,True,548
MCAT,519,510,True,532
Step 1,246,196,True,532
Step 2,270,214,True,532
MCAT,508,510,False,229
Step 1,242,196,True,229
Step 2,254,214,True,229
MCAT,499,510,False,912
Step 1,233,196,True,912
Step 2,249,214,True,912
MCAT,511,510,True,866
Step 1,234,196,True,866
Step 2,263,214,True,866
MCAT,509,510,False,348
Step 1,230,196,True,348
Step 2,242,214,True,348
MCAT,507,510,False,268
Step 1,235,196,True,268
Step 2,245,214,True,268
MCAT,511,510,True,187
Step 1,222,196,True,187
Step 2,235,214,True,187
CBSE,63,70,False,187
MCAT,503,510,False,481
Step 1,157,196,False,481
CBSE,51,70,False,481
MCAT,513,510,True,253
Step 1,253,196,True,253
Step 2,267,214,True,253
MCAT,508,510,False,825
MCAT,512,510,True,734
Step 1,245,196,True,734
Step 2,251,214,True,734
MCAT,508,510,False,716
Step 1,224,196,True,716
Step 2,246,214,True,716
MCAT,500,510,False,929
Step 1,191,196,False,929
Step 2,227,214,True,929
MCAT,509,510,False,210
Step 1,248,196,True,210
Step 2,268,214,True,210
MCAT,516,510,True,627
Step 1,247,196,True,627
Step 2,262,214,True,627
MCAT,504,510,False,252
Step 1,216,196,True,252
Step 2,247,214,True,252
MCAT,511,510,True,110
Step 1,236,196,True,110
Step 2,260,214,True,110
MCAT,509,510,False,282
Step 1,224,196,True,282
Step 2,251,214,True,282
MCAT,517,510,True,221
Step 1,243,196,True,221
Step 2,259,214,True,221
CBSE,70,70,True,221
MCAT,508,510,False,539
Step 1,193,196,False,539
Step 2,226,214,True,539
CBSE,65,70,False,539
MCAT,505,510,False,560
Step 1,256,196,True,560
Step 2,262,214,True,560
MCAT,513,510,True,577
Step 1,237,196,True,577
Step 2,240,214,True,577
MCAT,509,510,False,411
Step 1,225,196,True,411
Step 2,252,214,True,411
MCAT,512,510,True,158
Step 1,239,196,True,158
Step 2,250,214,True,158
MCAT,505,510,False,521
Step 1,206,196,True,521
Step 2,232,214,True,521
MCAT,509,510,False,307
Step 1,255,196,True,307
Step 2,254,214,True,307
MCAT,511,510,True,444
Step 1,244,196,True,444
Step 2,249,214,True,444
MCAT,507,510,False,182
Step 1,205,196,True,182
Step 2,216,214,True,182
MCAT,507,510,False,679
Step 1,217,196,True,679
Step 2,236,214,True,679
MCAT,507,510,False,284
Step 1,213,196,True,284
Step 2,242,214,True,284
MCAT,511,510,True,490
Step 1,227,196,True,490
Step 2,241,214,True,490
CBSE,49,70,False,490
MCAT,505,510,False,487
Step 1,170,196,False,487
Step 2,238,214,True,487
CBSE,44,70,False,487
MCAT,508,510,False,711
Step 1,246,196,True,711
Step 2,241,214,True,711
MCAT,509,510,False,228
Step 1,224,196,True,228
Step 2,244,214,True,228
MCAT,509,510,False,392
Step 1,236,196,True,392
Step 2,256,214,True,392
MCAT,504,510,False,714
Step 1,237,196,True,714
Step 2,259,214,True,714
MCAT,507,510,False,686
Step 1,226,196,True,686
Step 2,223,214,True,686
MCAT,505,510,False,850
Step 1,208,196,True,850
Step 2,233,214,True,850
MCAT,505,510,False,504
Step 1,205,196,True,504
Step 2,216,214,True,504
MCAT,504,510,False,317
Step 1,198,196,True,317
Step 2,221,214,True,317
MCAT,509,510,False,358
Step 1,217,196,True,358
Step 2,250,214,True,358
MCAT,505,510,False,904
Step 1,238,196,True,904
Step 2,233,214,True,904
MCAT,507,510,False,726
Step 1,222,196,True,726
Step 2,244,214,True,726
MCAT,512,510,True,101
Step 1,232,196,True,101
Step 2,256,214,True,101
MCAT,507,510,False,671
Step 1,232,196,True,671
Step 2,259,214,True,671
MCAT,508,510,False,895
Step 1,227,196,True,895
Step 2,233,214,True,895
MCAT,504,510,False,241
Step 1,209,196,True,241
Step 2,232,214,True,241
MCAT,513,510,True,371
Step 1,217,196,True,371
Step 2,230,214,True,371
MCAT,512,510,True,651
Step 1,190,196,False,651
Step 2,224,214,True,651
MCAT,512,510,True,669
Step 1,238,196,True,669
Step 2,253,214,True,669
MCAT,509,510,False,246
Step 1,203,196,True,246
Step 2,215,214,True,246
MCAT,517,510,True,422
Step 1,230,196,True,422
Step 2,249,214,True,422
MCAT,512,510,True,709
Step 1,236,196,True,709
Step 2,250,214,True,709
MCAT,508,510,False,779
Step 1,211,196,True,779
Step 2,232,214,True,779
MCAT,505,510,False,535
Step 1,242,196,True,535
Step 2,253,214,True,535
MCAT,509,510,False,501
Step 1,210,196,True,501
Step 2,230,214,True,501
MCAT,512,510,True,498
Step 1,239,196,True,498
Step 2,239,214,True,498
MCAT,507,510,False,674
Step 1,213,196,True,674
Step 2,228,214,True,674
MCAT,501,510,False,359
Step 1,224,196,True,359
Step 2,246,214,True,359
MCAT,508,510,False,531
Step 1,244,196,True,531
Step 2,245,214,True,531
MCAT,509,510,False,468
Step 1,231,196,True,468
Step 2,242,214,True,468
MCAT,515,510,True,169
Step 1,212,196,True,169
Step 2,222,214,True,169
MCAT,508,510,False,817
Step 1,226,196,True,817
Step 2,247,214,True,817
MCAT,509,510,False,542
Step 1,240,196,True,542
Step 2,243,214,True,542
MCAT,504,510,False,119
MCAT,513,510,True,362
CBSE,77,70,True,362
MCAT,508,510,False,807
Step 1,253,196,True,807
Step 2,262,214,True,807
CBSE,74,70,True,807
CBSE,69,70,False,807
MCAT,513,510,True,385
Step 1,218,196,True,385
Step 2,254,214,True,385
CBSE,55,70,False,385
CBSE,82,70,True,385
MCAT,508,510,False,316
Step 1,261,196,True,316
Step 2,268,214,True,316
CBSE,67,70,False,316
CBSE,94,70,True,316
MCAT,509,510,False,406
Step 1,256,196,True,406
Step 2,259,214,True,406
CBSE,76,70,True,406
CBSE,69,70,False,406
MCAT,508,510,False,696
Step 1,239,196,True,696
Step 2,245,214,True,696
CBSE,57,70,False,696
CBSE,77,70,True,696
MCAT,513,510,True,376
Step 1,254,196,True,376
Step 2,263,214,True,376
CBSE,66,70,False,376
CBSE,58,70,False,376
MCAT,508,510,False,451
Step 1,219,196,True,451
Step 2,213,214,False,451
CBSE,53,70,False,451
CBSE,61,70,False,451
MCAT,514,510,True,352
Step 1,214,196,True,352
Step 2,232,214,True,352
CBSE,47,70,False,352
CBSE,67,70,False,352
MCAT,516,510,True,540
Step 1,226,196,True,540
Step 2,218,214,True,540
CBSE,65,70,False,540
CBSE,61,70,False,540
MCAT,507,510,False,738
Step 1,203,196,True,738
Step 2,258,214,True,738
CBSE,52,70,False,738
CBSE,63,70,False,738
MCAT,508,510,False,717
Step 1,234,196,True,717
Step 2,236,214,True,717
CBSE,51,70,False,717
CBSE,60,70,False,717
MCAT,500,510,False,466
Step 1,205,196,True,466
Step 2,226,214,True,466
CBSE,49,70,False,466
CBSE,61,70,False,466
MCAT,509,510,False,919
Step 1,205,196,True,919
Step 2,213,214,False,919
CBSE,55,70,False,919
CBSE,58,70,False,919
MCAT,502,510,False,621
Step 1,208,196,True,621
Step 2,227,214,True,621
CBSE,51,70,False,621
CBSE,72,70,True,621
MCAT,519,510,True,146
Step 1,245,196,True,146
Step 2,250,214,True,146
CBSE,69,70,False,146
MCAT,503,510,False,690
CBSE,59,70,False,690
MCAT,507,510,False,437
Step 1,184,196,False,437
Step 2,209,214,False,437
CBSE,44,70,False,437
CBSE,65,70,False,437
MCAT,509,510,False,797
Step 1,218,196,True,797
Step 2,237,214,True,797
CBSE,51,70,False,797
CBSE,62,70,False,797
MCAT,504,510,False,321
Step 1,202,196,True,321
Step 2,238,214,True,321
CBSE,51,70,False,321
CBSE,57,70,False,321
MCAT,509,510,False,239
Step 1,222,196,True,239
Step 2,239,214,True,239
CBSE,56,70,False,239
CBSE,62,70,False,239
MCAT,513,510,True,856
Step 1,201,196,True,856
Step 2,220,214,True,856
CBSE,53,70,False,856
CBSE,70,70,True,856
MCAT,508,510,False,570
Step 1,229,196,True,570
Step 2,251,214,True,570
CBSE,53,70,False,570
CBSE,54,70,False,570
MCAT,507,510,False,625
Step 1,206,196,True,625
Step 2,237,214,True,625
CBSE,52,70,False,625
CBSE,69,70,False,625
MCAT,515,510,True,838
Step 1,235,196,True,838
Step 2,257,214,True,838
CBSE,64,70,False,838
CBSE,67,70,False,838
MCAT,519,510,True,163
Step 1,228,196,True,163
Step 2,258,214,True,163
CBSE,56,70,False,163
CBSE,86,70,True,163
MCAT,507,510,False,518
Step 1,257,196,True,518
Step 2,256,214,True,518
CBSE,63,70,False,518
CBSE,76,70,True,518
MCAT,518,510,True,278
Step 1,240,196,True,278
Step 2,259,214,True,278
CBSE,67,70,False,278
CBSE,78,70,True,278
MCAT,512,510,True,482
Step 1,247,196,True,482
Step 2,260,214,True,482
CBSE,59,70,False,482
CBSE,86,70,True,482
MCAT,516,510,True,441
Step 1,255,196,True,441
Step 2,270,214,True,441
CBSE,67,70,False,441
CBSE,59,70,False,441
MCAT,499,510,False,648
Step 1,222,196,True,648
Step 2,218,214,True,648
CBSE,53,70,False,648
CBSE,53,70,False,648
MCAT,502,510,False,615
Step 1,213,196,True,615
Step 2,225,214,True,615
CBSE,51,70,False,615
CBSE,80,70,True,615
MCAT,508,510,False,718
Step 1,248,196,True,718
Step 2,259,214,True,718
CBSE,67,70,False,718
CBSE,76,70,True,718
MCAT,508,510,False,285
Step 1,249,196,True,285
Step 2,254,214,True,285
CBSE,63,70,False,285
CBSE,63,70,False,285
MCAT,502,510,False,161
Step 1,220,196,True,161
Step 2,246,214,True,161
CBSE,50,70,False,161
CBSE,70,70,True,161
MCAT,509,510,False,380
Step 1,226,196,True,380
Step 2,252,214,True,380
CBSE,51,70,False,380
CBSE,67,70,False,380
MCAT,509,510,False,725
Step 1,209,196,True,725
Step 2,248,214,True,725
CBSE,54,70,False,725
CBSE,58,70,False,725
MCAT,504,510,False,513
Step 1,225,196,True,513
Step 2,229,214,True,513
CBSE,48,70,False,513
CBSE,61,70,False,513
Step 1,217,196,True,339
Step 2,247,214,True,339
CBSE,47,70,False,339
CBSE,75,70,True,339
MCAT,502,510,False,318
Step 1,235,196,True,318
Step 2,255,214,True,318
CBSE,59,70,False,318
CBSE,53,70,False,318
MCAT,503,510,False,826
Step 1,220,196,True,826
Step 2,234,214,True,826
CBSE,47,70,False,826
CBSE,70,70,True,826
MCAT,512,510,True,777
Step 1,217,196,True,777
Step 2,250,214,True,777
CBSE,63,70,False,777
CBSE,64,70,False,777
MCAT,501,510,False,188
Step 1,222,196,True,188
Step 2,266,214,True,188
CBSE,57,70,False,188
CBSE,85,70,True,188
MCAT,517,510,True,590
Step 1,263,196,True,590
Step 2,264,214,True,590
CBSE,66,70,False,590
CBSE,62,70,False,590
MCAT,506,510,False,107
Step 1,232,196,True,107
Step 2,243,214,True,107
CBSE,46,70,False,107
CBSE,70,70,True,107
MCAT,509,510,False,367
Step 1,240,196,True,367
Step 2,252,214,True,367
CBSE,54,70,False,367
CBSE,53,70,False,367
MCAT,508,510,False,617
Step 1,190,196,False,617
Step 2,232,214,True,617
CBSE,49,70,False,617
CBSE,57,70,False,617
MCAT,511,510,True,294
Step 1,210,196,True,294
Step 2,223,214,True,294
CBSE,50,70,False,294
CBSE,67,70,False,294
MCAT,505,510,False,585
Step 1,217,196,True,585
Step 2,252,214,True,585
CBSE,52,70,False,585
CBSE,79,70,True,585
MCAT,505,510,False,207
Step 1,257,196,True,207
Step 2,265,214,True,207
CBSE,64,70,False,207
CBSE,65,70,False,207
MCAT,514,510,True,215
Step 1,221,196,True,215
Step 2,235,214,True,215
CBSE,51,70,False,215
CBSE,65,70,False,215
MCAT,511,510,True,428
Step 1,218,196,True,428
Step 2,233,214,True,428
CBSE,57,70,False,428
CBSE,77,70,True,428
MCAT,511,510,True,765
Step 1,244,196,True,765
Step 2,234,214,True,765
CBSE,64,70,False,765
CBSE,73,70,True,765
MCAT,508,510,False,701
Step 1,235,196,True,701
Step 2,239,214,True,701
CBSE,66,70,False,701
CBSE,67,70,False,701
MCAT,512,510,True,293
Step 1,229,196,True,293
Step 2,241,214,True,293
CBSE,52,70,False,293
CBSE,75,70,True,293
MCAT,502,510,False,404
Step 1,242,196,True,404
Step 2,251,214,True,404
CBSE,61,70,False,404
CBSE,58,70,False,404
MCAT,504,510,False,488
Step 1,201,196,True,488
Step 2,230,214,True,488
CBSE,48,70,False,488
CBSE,73,70,True,488
MCAT,512,510,True,692
Step 1,247,196,True,692
Step 2,266,214,True,692
CBSE,68,70,False,692
CBSE,65,70,False,692
MCAT,507,510,False,909
Step 1,243,196,True,909
Step 2,241,214,True,909
CBSE,58,70,False,909
CBSE,76,70,True,909
MCAT,512,510,True,438
Step 1,245,196,True,438
Step 2,263,214,True,438
CBSE,62,70,False,438
CBSE,55,70,False,438
MCAT,500,510,False,915
Step 1,208,196,True,915
Step 2,221,214,True,915
CBSE,44,70,False,915
CBSE,66,70,False,915
MCAT,505,510,False,907
Step 1,239,196,True,907
Step 2,250,214,True,907
CBSE,53,70,False,907
CBSE,65,70,False,907
MCAT,510,510,True,561
Step 1,231,196,True,561
Step 2,239,214,True,561
CBSE,59,70,False,561
CBSE,83,70,True,561
MCAT,507,510,False,355
Step 1,238,196,True,355
Step 2,244,214,True,355
CBSE,62,70,False,355
CBSE,59,70,False,355
MCAT,501,510,False,782
Step 1,208,196,True,782
Step 2,244,214,True,782
CBSE,46,70,False,782
CBSE,79,70,True,782
