ClassificationName,PointsEarned,PointsAvailable,ClassID,DateTaught,StudentID
HEME,0.0,1.0,637,2022,631
NUTR,0.0,1.0,637,2022,631
PATH,7.0,9.0,637,2022,631
PATH,0.0,1.0,639,2022,631
Renal,3.0,5.0,639,2022,631
ENDO,3.0,3.0,640,2023,631
CASE,3.0,4.0,638,2023,631
Mood disorder,0.0,1.0,638,2023,631
Neoplasm,0.0,1.0,638,2023,631
IMMUNO,8.0,8.0,636,2022,331
MICRO,1.0,1.0,636,2022,331
Virology,1.0,1.0,636,2022,331
HEME,0.0,1.0,637,2022,331
NUTR,0.0,1.0,637,2022,331
PATH,6.0,9.0,637,2022,331
PATH,0.0,1.0,639,2022,331
Renal,4.0,5.0,639,2022,331
CASE,3.0,4.0,638,2023,331
Mood disorder,1.0,1.0,638,2023,331
Neoplasm,0.0,1.0,638,2023,331
IMMUNO,6.0,8.0,636,2022,546
MICRO,0.0,1.0,636,2022,546
Virology,1.0,1.0,636,2022,546
HEME,0.0,1.0,637,2022,546
NUTR,0.0,1.0,637,2022,546
PATH,6.0,9.0,637,2022,546
PATH,0.0,1.0,639,2022,546
Renal,1.0,5.0,639,2022,546
CASE,3.0,4.0,638,2023,546
Mood disorder,1.0,1.0,638,2023,546
Neoplasm,0.0,1.0,638,2023,546
IMMUNO,7.0,8.0,636,2022,322
MICRO,1.0,1.0,636,2022,322
Virology,1.0,1.0,636,2022,322
PATH,0.0,1.0,639,2022,322
Renal,4.0,5.0,639,2022,322
CASE,3.0,4.0,638,2023,322
Mood disorder,0.0,1.0,638,2023,322
Neoplasm,1.0,1.0,638,2023,322
IMMUNO,5.0,8.0,636,2022,830
MICRO,1.0,1.0,636,2022,830
Virology,0.0,1.0,636,2022,830
PATH,1.0,1.0,639,2022,830
Renal,2.0,5.0,639,2022,830
CASE,3.0,4.0,638,2023,830
Mood disorder,1.0,1.0,638,2023,830
Neoplasm,0.0,1.0,638,2023,830
IMMUNO,7.0,8.0,636,2022,934
MICRO,1.0,1.0,636,2022,934
Virology,1.0,1.0,636,2022,934
HEME,1.0,1.0,637,2022,934
NUTR,0.0,1.0,637,2022,934
PATH,3.0,9.0,637,2022,934
PATH,0.0,1.0,639,2022,934
Renal,3.0,5.0,639,2022,934
CASE,3.0,4.0,638,2023,934
Mood disorder,1.0,1.0,638,2023,934
Neoplasm,0.0,1.0,638,2023,934
IMMUNO,6.0,8.0,636,2022,299
MICRO,1.0,1.0,636,2022,299
Virology,1.0,1.0,636,2022,299
HEME,0.0,1.0,637,2022,299
NUTR,0.0,1.0,637,2022,299
PATH,0.0,9.0,637,2022,299
PATH,1.0,1.0,639,2022,299
Renal,4.0,5.0,639,2022,299
CASE,2.0,4.0,638,2023,299
Mood disorder,1.0,1.0,638,2023,299
Neoplasm,0.0,1.0,638,2023,299
IMMUNO,5.0,8.0,636,2022,809
MICRO,1.0,1.0,636,2022,809
Virology,1.0,1.0,636,2022,809
HEME,0.0,1.0,637,2022,809
NUTR,0.0,1.0,637,2022,809
PATH,5.0,9.0,637,2022,809
PATH,0.0,1.0,639,2022,809
Renal,3.0,5.0,639,2022,809
CASE,2.0,4.0,638,2023,809
Mood disorder,1.0,1.0,638,2023,809
Neoplasm,1.0,1.0,638,2023,809
IMMUNO,5.0,8.0,636,2022,672
MICRO,0.0,1.0,636,2022,672
Virology,0.0,1.0,636,2022,672
HEME,0.0,1.0,637,2022,672
NUTR,0.0,1.0,637,2022,672
PATH,1.0,9.0,637,2022,672
PATH,0.0,1.0,639,2022,672
Renal,3.0,5.0,639,2022,672
CASE,3.0,4.0,638,2023,672
Mood disorder,1.0,1.0,638,2023,672
Neoplasm,1.0,1.0,638,2023,672
IMMUNO,6.0,8.0,636,2022,579
MICRO,0.0,1.0,636,2022,579
Virology,1.0,1.0,636,2022,579
HEME,0.0,1.0,637,2022,579
NUTR,0.0,1.0,637,2022,579
PATH,3.0,9.0,637,2022,579
PATH,0.0,1.0,639,2022,579
Renal,2.0,5.0,639,2022,579
CASE,3.0,4.0,638,2023,579
Mood disorder,1.0,1.0,638,2023,579
Neoplasm,0.0,1.0,638,2023,579
IMMUNO,7.0,8.0,636,2022,340
MICRO,1.0,1.0,636,2022,340
Virology,1.0,1.0,636,2022,340
PATH,1.0,1.0,639,2022,340
Renal,2.0,5.0,639,2022,340
CASE,3.0,4.0,638,2023,340
Mood disorder,1.0,1.0,638,2023,340
Neoplasm,1.0,1.0,638,2023,340
IMMUNO,5.0,8.0,636,2022,657
MICRO,0.0,1.0,636,2022,657
Virology,1.0,1.0,636,2022,657
HEME,0.0,1.0,637,2022,657
NUTR,0.0,1.0,637,2022,657
PATH,4.0,9.0,637,2022,657
PATH,1.0,1.0,639,2022,657
Renal,3.0,5.0,639,2022,657
CASE,2.0,4.0,638,2023,657
Mood disorder,1.0,1.0,638,2023,657
Neoplasm,0.0,1.0,638,2023,657
IMMUNO,7.0,8.0,636,2022,628
MICRO,0.0,1.0,636,2022,628
Virology,1.0,1.0,636,2022,628
PATH,1.0,1.0,639,2022,628
Renal,3.0,5.0,639,2022,628
CASE,3.0,4.0,638,2023,628
Mood disorder,0.0,1.0,638,2023,628
Neoplasm,0.0,1.0,638,2023,628
IMMUNO,6.0,8.0,636,2022,582
MICRO,1.0,1.0,636,2022,582
Virology,0.0,1.0,636,2022,582
HEME,0.0,1.0,637,2022,582
NUTR,1.0,1.0,637,2022,582
PATH,3.0,9.0,637,2022,582
PATH,0.0,1.0,639,2022,582
Renal,1.0,5.0,639,2022,582
CASE,3.0,4.0,638,2023,582
Mood disorder,1.0,1.0,638,2023,582
Neoplasm,0.0,1.0,638,2023,582
IMMUNO,6.0,8.0,636,2022,302
MICRO,1.0,1.0,636,2022,302
Virology,1.0,1.0,636,2022,302
HEME,1.0,1.0,637,2022,302
NUTR,1.0,1.0,637,2022,302
PATH,5.0,9.0,637,2022,302
PATH,0.0,1.0,639,2022,302
Renal,3.0,5.0,639,2022,302
CASE,3.0,4.0,638,2023,302
Mood disorder,1.0,1.0,638,2023,302
Neoplasm,0.0,1.0,638,2023,302
IMMUNO,7.0,8.0,636,2022,431
MICRO,0.0,1.0,636,2022,431
Virology,1.0,1.0,636,2022,431
PATH,1.0,1.0,639,2022,431
Renal,1.0,5.0,639,2022,431
CASE,4.0,4.0,638,2023,431
Mood disorder,1.0,1.0,638,2023,431
Neoplasm,0.0,1.0,638,2023,431
IMMUNO,4.0,8.0,636,2022,695
MICRO,1.0,1.0,636,2022,695
Virology,1.0,1.0,636,2022,695
HEME,1.0,1.0,637,2022,695
NUTR,1.0,1.0,637,2022,695
PATH,4.0,9.0,637,2022,695
PATH,1.0,1.0,639,2022,695
Renal,2.0,5.0,639,2022,695
CASE,2.0,4.0,638,2023,695
Mood disorder,1.0,1.0,638,2023,695
Neoplasm,1.0,1.0,638,2023,695
IMMUNO,5.0,8.0,636,2022,545
MICRO,0.0,1.0,636,2022,545
Virology,1.0,1.0,636,2022,545
PATH,1.0,1.0,639,2022,545
Renal,1.0,5.0,639,2022,545
CASE,3.0,4.0,638,2023,545
Mood disorder,0.0,1.0,638,2023,545
Neoplasm,0.0,1.0,638,2023,545
IMMUNO,6.0,8.0,636,2022,691
MICRO,1.0,1.0,636,2022,691
Virology,1.0,1.0,636,2022,691
PATH,1.0,1.0,639,2022,691
Renal,4.0,5.0,639,2022,691
CASE,3.0,4.0,638,2023,691
Mood disorder,1.0,1.0,638,2023,691
Neoplasm,0.0,1.0,638,2023,691
IMMUNO,7.0,8.0,636,2022,650
MICRO,1.0,1.0,636,2022,650
Virology,1.0,1.0,636,2022,650
PATH,1.0,1.0,639,2022,650
Renal,3.0,5.0,639,2022,650
CASE,3.0,4.0,638,2023,650
Mood disorder,1.0,1.0,638,2023,650
Neoplasm,0.0,1.0,638,2023,650
IMMUNO,6.0,8.0,636,2022,220
MICRO,0.0,1.0,636,2022,220
Virology,1.0,1.0,636,2022,220
PATH,0.0,1.0,639,2022,220
Renal,3.0,5.0,639,2022,220
CASE,3.0,4.0,638,2023,220
Mood disorder,1.0,1.0,638,2023,220
Neoplasm,1.0,1.0,638,2023,220
IMMUNO,5.0,8.0,636,2022,841
MICRO,1.0,1.0,636,2022,841
Virology,1.0,1.0,636,2022,841
HEME,1.0,1.0,637,2022,841
NUTR,1.0,1.0,637,2022,841
PATH,4.0,9.0,637,2022,841
PATH,1.0,1.0,639,2022,841
Renal,2.0,5.0,639,2022,841
CASE,2.0,4.0,638,2023,841
Mood disorder,1.0,1.0,638,2023,841
Neoplasm,0.0,1.0,638,2023,841
IMMUNO,8.0,8.0,636,2022,258
MICRO,0.0,1.0,636,2022,258
Virology,1.0,1.0,636,2022,258
HEME,0.0,1.0,637,2022,258
NUTR,0.0,1.0,637,2022,258
PATH,5.0,9.0,637,2022,258
PATH,0.0,1.0,639,2022,258
Renal,3.0,5.0,639,2022,258
CASE,2.0,4.0,638,2023,258
Mood disorder,1.0,1.0,638,2023,258
Neoplasm,0.0,1.0,638,2023,258
ANAT,6.0,6.0,631,2022,828
Anemia,2.0,2.0,631,2022,828
BIOCHEM,15.25,18.0,631,2022,828
BODY and HLTH SYS,26.0,32.0,631,2022,828
CASE,3.0,4.0,631,2022,828
CELL BIO,30.0,37.0,631,2022,828
CELLS and TISS,54.0,65.0,631,2022,828
DEV,8.0,8.0,631,2022,828
Diagnosis,1.0,1.0,631,2022,828
Diversity,1.0,1.0,631,2022,828
ETHICS,3.0,5.0,631,2022,828
GEN,19.0,24.0,631,2022,828
HB,2.0,2.0,631,2022,828
HEME,2.0,2.0,631,2022,828
HISTO,8.0,13.0,631,2022,828
MOL BIOL,6.0,6.0,631,2022,828
MOLEC and COMP,58.0,71.0,631,2022,828
Nerve,1.0,4.0,631,2022,828
NUTR,0.0,2.0,631,2022,828
PATH,4.0,6.0,631,2022,828
PHARM,15.0,22.0,631,2022,828
Toolkit,1.0,1.0,631,2022,828
ANAT,11.0,11.0,632,2022,828
BIOCHEM,13.0,15.0,632,2022,828
Biostats,5.0,7.0,632,2022,828
CARDIO,115.92,130.0,632,2022,828
CASE,5.0,5.0,632,2022,828
ETHICS,1.0,1.0,632,2022,828
HISTO,26.67,31.0,632,2022,828
NUTR,1.0,1.0,632,2022,828
PHARM,1.0,2.0,632,2022,828
PHYSIO,32.67,37.0,632,2022,828
RADIOLOGY,2.0,2.0,632,2022,828
Renal,0.0,1.0,632,2022,828
CASE,7.0,7.0,633,2023,828
HISTO,1.0,1.0,633,2023,828
ANAT,1.0,1.0,634,2023,828
CASE,15.0,16.0,634,2023,828
ETHICS,2.0,2.0,634,2023,828
Functions & Processes,1.0,1.0,634,2023,828
HISTO,1.0,1.0,634,2023,828
IMMUNO,3.0,3.0,634,2023,828
Inflammation,3.0,3.0,634,2023,828
MICRO,2.0,2.0,634,2023,828
ORTHO,2.0,2.0,634,2023,828
Pain,2.0,2.0,634,2023,828
PATH,3.0,3.0,634,2023,828
Sports Med,3.0,3.0,634,2023,828
CASE,8.0,9.0,635,2023,828
End of Life,1.0,1.0,635,2023,828
IMMUNO,8.0,8.0,636,2023,828
Virology,1.0,1.0,636,2023,828
BIOCHEM,1.0,1.0,637,2023,828
CASE,1.0,2.0,637,2023,828
EBM,1.0,2.0,637,2023,828
MICRO,3.0,3.0,637,2023,828
PATH,10.0,15.0,637,2023,828
PHARM,1.0,1.0,637,2023,828
Anti-hypertensive,2.0,2.0,639,2023,828
CARDIO,0.0,2.0,639,2023,828
Cardiovascular,3.0,3.0,639,2023,828
Neoplasm,2.0,2.0,639,2023,828
PATH,6.0,7.0,639,2023,828
PHARM,12.0,13.0,639,2023,828
PHYSIO,2.0,3.0,639,2023,828
Renal,5.0,7.0,639,2023,828
IMMUNO,7.0,8.0,636,2022,372
MICRO,1.0,1.0,636,2022,372
Virology,0.0,1.0,636,2022,372
HEME,0.0,1.0,637,2022,372
NUTR,1.0,1.0,637,2022,372
PATH,2.0,9.0,637,2022,372
PATH,0.0,1.0,639,2022,372
Renal,3.0,5.0,639,2022,372
CASE,2.0,4.0,638,2023,372
Mood disorder,1.0,1.0,638,2023,372
Neoplasm,1.0,1.0,638,2023,372
IMMUNO,7.0,8.0,636,2022,573
MICRO,0.0,1.0,636,2022,573
Virology,1.0,1.0,636,2022,573
HEME,1.0,1.0,637,2022,573
NUTR,1.0,1.0,637,2022,573
PATH,4.0,9.0,637,2022,573
PATH,1.0,1.0,639,2022,573
Renal,4.0,5.0,639,2022,573
CASE,3.0,4.0,638,2023,573
Mood disorder,1.0,1.0,638,2023,573
Neoplasm,0.0,1.0,638,2023,573
IMMUNO,5.0,8.0,636,2022,192
MICRO,0.0,1.0,636,2022,192
Virology,0.0,1.0,636,2022,192
HEME,1.0,1.0,637,2022,192
NUTR,0.0,1.0,637,2022,192
PATH,4.0,9.0,637,2022,192
PATH,0.0,1.0,639,2022,192
Renal,2.0,5.0,639,2022,192
CASE,2.0,4.0,638,2023,192
Mood disorder,0.0,1.0,638,2023,192
Neoplasm,1.0,1.0,638,2023,192
IMMUNO,3.0,8.0,636,2022,480
MICRO,0.0,1.0,636,2022,480
Virology,1.0,1.0,636,2022,480
PATH,1.0,1.0,639,2022,480
Renal,0.0,5.0,639,2022,480
CASE,4.0,4.0,638,2023,480
Mood disorder,0.0,1.0,638,2023,480
Neoplasm,0.0,1.0,638,2023,480
IMMUNO,7.0,8.0,636,2022,662
MICRO,1.0,1.0,636,2022,662
Virology,1.0,1.0,636,2022,662
HEME,0.0,1.0,637,2022,662
NUTR,1.0,1.0,637,2022,662
PATH,4.0,9.0,637,2022,662
PATH,0.0,1.0,639,2022,662
Renal,4.0,5.0,639,2022,662
CASE,2.0,4.0,638,2023,662
Mood disorder,0.0,1.0,638,2023,662
Neoplasm,0.0,1.0,638,2023,662
IMMUNO,7.0,8.0,636,2022,356
MICRO,0.0,1.0,636,2022,356
Virology,1.0,1.0,636,2022,356
HEME,0.0,1.0,637,2022,356
NUTR,1.0,1.0,637,2022,356
PATH,2.0,9.0,637,2022,356
PATH,1.0,1.0,639,2022,356
Renal,3.0,5.0,639,2022,356
CASE,3.0,4.0,638,2023,356
Mood disorder,0.0,1.0,638,2023,356
Neoplasm,0.0,1.0,638,2023,356
IMMUNO,5.0,8.0,636,2022,923
MICRO,1.0,1.0,636,2022,923
Virology,1.0,1.0,636,2022,923
PATH,0.0,1.0,639,2022,923
Renal,3.0,5.0,639,2022,923
CASE,2.0,4.0,638,2023,923
Mood disorder,1.0,1.0,638,2023,923
Neoplasm,0.0,1.0,638,2023,923
IMMUNO,5.0,8.0,636,2022,454
MICRO,0.0,1.0,636,2022,454
Virology,1.0,1.0,636,2022,454
PATH,1.0,1.0,639,2022,454
Renal,3.0,5.0,639,2022,454
CASE,3.0,4.0,638,2023,454
Mood disorder,1.0,1.0,638,2023,454
Neoplasm,0.0,1.0,638,2023,454
IMMUNO,6.0,8.0,636,2022,600
MICRO,0.0,1.0,636,2022,600
Virology,0.0,1.0,636,2022,600
PATH,0.0,1.0,639,2022,600
Renal,2.0,5.0,639,2022,600
CASE,2.0,4.0,638,2023,600
Mood disorder,0.0,1.0,638,2023,600
Neoplasm,0.0,1.0,638,2023,600
IMMUNO,8.0,8.0,636,2022,743
MICRO,0.0,1.0,636,2022,743
Virology,0.0,1.0,636,2022,743
HEME,0.0,1.0,637,2022,743
NUTR,0.0,1.0,637,2022,743
PATH,3.0,9.0,637,2022,743
PATH,0.0,1.0,639,2022,743
Renal,3.0,5.0,639,2022,743
CASE,1.0,4.0,638,2023,743
Mood disorder,0.0,1.0,638,2023,743
Neoplasm,0.0,1.0,638,2023,743
IMMUNO,6.0,8.0,636,2022,418
MICRO,1.0,1.0,636,2022,418
Virology,1.0,1.0,636,2022,418
PATH,0.0,1.0,639,2022,418
Renal,4.0,5.0,639,2022,418
CASE,3.0,4.0,638,2023,418
Mood disorder,0.0,1.0,638,2023,418
Neoplasm,0.0,1.0,638,2023,418
IMMUNO,6.0,8.0,636,2022,204
MICRO,0.0,1.0,636,2022,204
Virology,1.0,1.0,636,2022,204
PATH,0.0,1.0,639,2022,204
Renal,2.0,5.0,639,2022,204
CASE,3.0,4.0,638,2023,204
Mood disorder,0.0,1.0,638,2023,204
Neoplasm,0.0,1.0,638,2023,204
IMMUNO,6.0,8.0,636,2022,932
MICRO,1.0,1.0,636,2022,932
Virology,0.0,1.0,636,2022,932
PATH,0.0,1.0,639,2022,932
Renal,3.0,5.0,639,2022,932
CASE,3.0,4.0,638,2023,932
Mood disorder,1.0,1.0,638,2023,932
Neoplasm,1.0,1.0,638,2023,932
IMMUNO,6.0,8.0,636,2022,250
MICRO,0.0,1.0,636,2022,250
Virology,1.0,1.0,636,2022,250
HEME,1.0,1.0,637,2022,250
NUTR,1.0,1.0,637,2022,250
PATH,4.0,9.0,637,2022,250
PATH,0.0,1.0,639,2022,250
Renal,4.0,5.0,639,2022,250
CASE,3.0,4.0,638,2023,250
Mood disorder,0.0,1.0,638,2023,250
Neoplasm,1.0,1.0,638,2023,250
IMMUNO,6.0,8.0,636,2022,425
MICRO,1.0,1.0,636,2022,425
Virology,1.0,1.0,636,2022,425
HEME,0.0,1.0,637,2022,425
NUTR,0.0,1.0,637,2022,425
PATH,1.0,9.0,637,2022,425
PATH,0.0,1.0,639,2022,425
Renal,2.0,5.0,639,2022,425
CASE,3.0,4.0,638,2023,425
Mood disorder,1.0,1.0,638,2023,425
Neoplasm,0.0,1.0,638,2023,425
IMMUNO,6.0,8.0,636,2022,328
MICRO,1.0,1.0,636,2022,328
Virology,1.0,1.0,636,2022,328
HEME,1.0,1.0,637,2022,328
NUTR,0.0,1.0,637,2022,328
PATH,7.0,9.0,637,2022,328
PATH,0.0,1.0,639,2022,328
Renal,2.0,5.0,639,2022,328
CASE,3.0,4.0,638,2023,328
Mood disorder,0.0,1.0,638,2023,328
Neoplasm,0.0,1.0,638,2023,328
IMMUNO,8.0,8.0,636,2022,844
MICRO,0.0,1.0,636,2022,844
Virology,0.0,1.0,636,2022,844
HEME,0.0,1.0,637,2022,844
NUTR,0.0,1.0,637,2022,844
PATH,7.0,9.0,637,2022,844
PATH,1.0,1.0,639,2022,844
Renal,4.0,5.0,639,2022,844
CASE,3.0,4.0,638,2023,844
Mood disorder,0.0,1.0,638,2023,844
Neoplasm,0.0,1.0,638,2023,844
IMMUNO,7.0,8.0,636,2022,505
MICRO,0.0,1.0,636,2022,505
Virology,1.0,1.0,636,2022,505
HEME,0.0,1.0,637,2022,505
NUTR,0.0,1.0,637,2022,505
PATH,4.0,9.0,637,2022,505
PATH,0.0,1.0,639,2022,505
Renal,3.0,5.0,639,2022,505
CASE,4.0,4.0,638,2023,505
Mood disorder,1.0,1.0,638,2023,505
Neoplasm,0.0,1.0,638,2023,505
IMMUNO,7.0,8.0,636,2022,353
MICRO,1.0,1.0,636,2022,353
Virology,1.0,1.0,636,2022,353
PATH,1.0,1.0,639,2022,353
Renal,4.0,5.0,639,2022,353
CASE,2.0,4.0,638,2023,353
Mood disorder,1.0,1.0,638,2023,353
Neoplasm,0.0,1.0,638,2023,353
IMMUNO,6.0,8.0,636,2022,124
MICRO,1.0,1.0,636,2022,124
Virology,1.0,1.0,636,2022,124
PATH,0.0,1.0,639,2022,124
Renal,3.0,5.0,639,2022,124
CASE,3.0,4.0,638,2023,124
Mood disorder,1.0,1.0,638,2023,124
Neoplasm,0.0,1.0,638,2023,124
IMMUNO,5.0,8.0,636,2022,862
MICRO,1.0,1.0,636,2022,862
Virology,1.0,1.0,636,2022,862
HEME,0.0,1.0,637,2022,862
NUTR,0.0,1.0,637,2022,862
PATH,5.0,9.0,637,2022,862
IMMUNO,5.0,8.0,636,2023,862
Virology,1.0,1.0,636,2023,862
BIOCHEM,1.0,1.0,637,2023,862
CASE,2.0,2.0,637,2023,862
EBM,2.0,2.0,637,2023,862
MICRO,3.0,3.0,637,2023,862
PATH,7.0,15.0,637,2023,862
PHARM,1.0,1.0,637,2023,862
Anti-hypertensive,1.0,2.0,639,2023,862
CARDIO,1.0,2.0,639,2023,862
Cardiovascular,2.0,3.0,639,2023,862
Neoplasm,2.0,2.0,639,2023,862
PATH,5.0,7.0,639,2023,862
PHARM,6.0,13.0,639,2023,862
PHYSIO,0.0,3.0,639,2023,862
Renal,5.0,7.0,639,2023,862
IMMUNO,4.0,8.0,636,2022,524
MICRO,1.0,1.0,636,2022,524
Virology,1.0,1.0,636,2022,524
PATH,1.0,1.0,639,2022,524
Renal,4.0,5.0,639,2022,524
CASE,3.0,4.0,638,2023,524
Mood disorder,1.0,1.0,638,2023,524
Neoplasm,1.0,1.0,638,2023,524
IMMUNO,7.0,8.0,636,2022,131
MICRO,0.0,1.0,636,2022,131
Virology,1.0,1.0,636,2022,131
HEME,1.0,1.0,637,2022,131
NUTR,0.0,1.0,637,2022,131
PATH,6.0,9.0,637,2022,131
PATH,1.0,1.0,639,2022,131
Renal,4.0,5.0,639,2022,131
CASE,2.0,4.0,638,2023,131
Mood disorder,1.0,1.0,638,2023,131
Neoplasm,1.0,1.0,638,2023,131
ANAT,4.0,6.0,631,2022,153
Anemia,2.0,2.0,631,2022,153
BIOCHEM,13.25,18.0,631,2022,153
BODY and HLTH SYS,23.0,32.0,631,2022,153
CASE,3.0,4.0,631,2022,153
CELL BIO,32.0,37.0,631,2022,153
CELLS and TISS,49.0,65.0,631,2022,153
DEV,6.0,8.0,631,2022,153
Diagnosis,1.0,1.0,631,2022,153
Diversity,1.0,1.0,631,2022,153
ETHICS,4.0,5.0,631,2022,153
GEN,19.0,24.0,631,2022,153
HB,2.0,2.0,631,2022,153
HEME,1.0,2.0,631,2022,153
HISTO,9.0,13.0,631,2022,153
MOL BIOL,5.0,6.0,631,2022,153
MOLEC and COMP,53.0,71.0,631,2022,153
Nerve,2.0,4.0,631,2022,153
NUTR,2.0,2.0,631,2022,153
PATH,4.0,6.0,631,2022,153
PHARM,13.0,22.0,631,2022,153
Toolkit,1.0,1.0,631,2022,153
ANAT,8.0,11.0,632,2022,153
BIOCHEM,11.0,15.0,632,2022,153
Biostats,6.0,7.0,632,2022,153
CARDIO,98.17,130.0,632,2022,153
CASE,3.0,5.0,632,2022,153
ETHICS,1.0,1.0,632,2022,153
HISTO,21.67,31.0,632,2022,153
NUTR,0.0,1.0,632,2022,153
PHARM,1.0,2.0,632,2022,153
PHYSIO,26.42,37.0,632,2022,153
RADIOLOGY,2.0,2.0,632,2022,153
Renal,1.0,1.0,632,2022,153
CASE,6.0,6.0,633,2023,153
HISTO,,,633,2023,153
ANAT,0.0,1.0,634,2023,153
CASE,12.0,16.0,634,2023,153
ETHICS,2.0,2.0,634,2023,153
Functions & Processes,0.0,1.0,634,2023,153
HISTO,1.0,1.0,634,2023,153
IMMUNO,1.0,3.0,634,2023,153
Inflammation,0.0,3.0,634,2023,153
MICRO,0.0,2.0,634,2023,153
ORTHO,2.0,2.0,634,2023,153
Pain,2.0,2.0,634,2023,153
PATH,0.0,3.0,634,2023,153
Sports Med,2.0,3.0,634,2023,153
CASE,6.0,9.0,635,2023,153
End of Life,1.0,1.0,635,2023,153
IMMUNO,6.0,8.0,636,2023,153
Virology,1.0,1.0,636,2023,153
BIOCHEM,1.0,1.0,637,2023,153
CASE,2.0,2.0,637,2023,153
EBM,2.0,2.0,637,2023,153
MICRO,3.0,3.0,637,2023,153
PATH,8.0,15.0,637,2023,153
PHARM,1.0,1.0,637,2023,153
Anti-hypertensive,2.0,2.0,639,2023,153
CARDIO,1.0,2.0,639,2023,153
Cardiovascular,2.0,3.0,639,2023,153
Neoplasm,1.0,2.0,639,2023,153
PATH,6.0,7.0,639,2023,153
PHARM,9.0,13.0,639,2023,153
PHYSIO,2.0,3.0,639,2023,153
Renal,7.0,7.0,639,2023,153
IMMUNO,6.0,8.0,636,2022,118
MICRO,1.0,1.0,636,2022,118
Virology,1.0,1.0,636,2022,118
HEME,0.0,1.0,637,2022,118
NUTR,0.0,1.0,637,2022,118
PATH,6.0,9.0,637,2022,118
PATH,0.0,1.0,639,2022,118
Renal,4.0,5.0,639,2022,118
CASE,3.0,4.0,638,2023,118
Mood disorder,1.0,1.0,638,2023,118
Neoplasm,0.0,1.0,638,2023,118
IMMUNO,6.0,8.0,636,2022,337
MICRO,1.0,1.0,636,2022,337
Virology,1.0,1.0,636,2022,337
HEME,0.0,1.0,637,2022,337
NUTR,0.0,1.0,637,2022,337
PATH,5.0,9.0,637,2022,337
PATH,0.0,1.0,639,2022,337
Renal,2.0,5.0,639,2022,337
CASE,3.0,4.0,638,2023,337
Mood disorder,1.0,1.0,638,2023,337
Neoplasm,0.0,1.0,638,2023,337
IMMUNO,5.0,8.0,636,2022,729
MICRO,1.0,1.0,636,2022,729
Virology,1.0,1.0,636,2022,729
PATH,0.0,1.0,639,2022,729
Renal,3.0,5.0,639,2022,729
CASE,3.0,4.0,638,2023,729
Mood disorder,1.0,1.0,638,2023,729
Neoplasm,0.0,1.0,638,2023,729
IMMUNO,6.0,8.0,636,2022,330
MICRO,0.0,1.0,636,2022,330
Virology,1.0,1.0,636,2022,330
PATH,1.0,1.0,639,2022,330
Renal,3.0,5.0,639,2022,330
CASE,3.0,4.0,638,2023,330
Mood disorder,0.0,1.0,638,2023,330
Neoplasm,0.0,1.0,638,2023,330
IMMUNO,7.0,8.0,636,2022,196
MICRO,1.0,1.0,636,2022,196
